Entity,Code,Year,Coal (terawatt-hours),Solar (terawatt-hours),Crude oil (terawatt-hours),Natural gas (terawatt-hours),Traditional biofuels (terawatt-hours),Other renewables (terawatt-hours),Hydropower (terawatt-hours),Nuclear (terawatt-hours),Wind (terawatt-hours)
World,OWID_WRL,1800,97.2223,0,0,0,5555.555556,0,0,0,0
World,OWID_WRL,1810,127.77788,0,0,0,5833.333333,0,0,0,0
World,OWID_WRL,1820,152.7779,0,0,0,6111.111111,0,0,0,0
World,OWID_WRL,1830,263.8891,0,0,0,6388.888889,0,0,0,0
World,OWID_WRL,1840,355.55584,0,0,0,6944.444444,0,0,0,0
World,OWID_WRL,1850,569.4449,0,0,0,7222.222222,0,0,0,0
World,OWID_WRL,1860,1061.11196,0,0,0,6944.444444,0,0,0,0
World,OWID_WRL,1870,1641.66798,0,5.55556,0,6944.444444,0,0,0,0
World,OWID_WRL,1880,2541.6687,0,33.33336,0,6944.444444,0,0,0,0
World,OWID_WRL,1890,3855.55864,0,88.88896,33.33336,6666.666667,0,13.88888889,0,0
World,OWID_WRL,1900,5727.78236,0,180.5557,63.88894,6111.111111,0,16.66666667,0,0
World,OWID_WRL,1910,8655.56248,0,397.22254,141.66678,6388.888889,0,33.33333333,0,0
World,OWID_WRL,1920,9833.3412,0,888.8896,233.33352,6944.444444,0,63.88888889,0,0
World,OWID_WRL,1930,10125.0081,0,1755.55696,602.77826,7222.222222,0,130.5555556,0,0
World,OWID_WRL,1940,11586.12038,0,2652.7799,875.0007,7222.222222,0,191.6666667,0,0
World,OWID_WRL,1950,12602.78786,0,5444.4488,2091.66834,7500,0,333.3333333,0,0
World,OWID_WRL,1960,15441.67902,0,11097.2311,4472.2258,8888.888889,0,688.8888889,0,0
World,OWID_WRL,1965,16151.92528,0,18076.39278,6306.335632,9162.456946,17.9852321,919.7702757,25.78689584,0
World,OWID_WRL,1966,16331.97027,0,19464.76641,6871.657335,9218.172711,19.8060069,986.2858717,34.57627093,0
World,OWID_WRL,1967,16071.13467,0,20857.64405,7377.465018,9274.227277,19.98657074,1009.244569,42.4078552,0
World,OWID_WRL,1968,16312.5825,0,22643.21042,8046.414648,9330.622704,22.1200451,1059.06286,52.52310447,0
World,OWID_WRL,1969,16825.95803,0,24550.62599,8835.531304,9387.361065,23.25796438,1122.442526,63.43876256,0
World,OWID_WRL,1970,17065.24787,0,26664.17435,9614.877288,9444.444444,25.69319599,1174.560348,78.40661173,0
World,OWID_WRL,1971,16971.02322,0,28249.46992,10292.26384,9498.581964,27.87916846,1221.63273,110.0047304,0
World,OWID_WRL,1972,17161.82973,0,30414.47716,10861.76049,9553.029811,29.87710082,1276.766396,150.8970728,0
World,OWID_WRL,1973,17673.09391,0,32787.73768,11377.11819,9607.789765,32.08492382,1292.752251,202.6554947,0
World,OWID_WRL,1974,17687.7423,0,32313.65198,11655.71658,9662.863614,33.95881358,1419.046721,263.3878734,0
World,OWID_WRL,1975,18031.6491,0,31985.56335,11661.05371,9718.253158,34.48367863,1440.451903,364.3608367,0
World,OWID_WRL,1976,18688.40966,0,34075.717,12355.17642,9773.960206,38.46095587,1435.228335,433.3928498,0
World,OWID_WRL,1977,19241.44147,0,35237.15586,12761.24437,9829.986579,40.56255723,1472.559263,535.421645,0
World,OWID_WRL,1978,19456.78595,0,36450.42579,13294.88653,9886.334106,42.96747784,1588.704502,619.3130172,0.003
World,OWID_WRL,1979,20359.51044,0,37064.76694,14119.35794,9943.00463,46.16932882,1667.584671,639.6327497,0.006
World,OWID_WRL,1980,20856.51935,0,35605.19324,14237.47062,10000,49.38536385,1698.609443,711.3538908,0.0105
World,OWID_WRL,1981,21148.68072,0,34315.54606,14395.17791,10105.91751,53.15454248,1725.232746,835.9370357,0.0105
World,OWID_WRL,1982,21384.22049,0,33257.19946,14470.4886,10212.95688,61.37055642,1796.883172,916.6454617,0.0185
World,OWID_WRL,1983,22040.19421,0.003,33046.58989,14703.60738,10321.12997,68.01793274,1879.268978,1029.398713,0.032794949
World,OWID_WRL,1984,22997.47253,0.006311111,33808.5925,15902.71049,10430.44881,76.00921831,1941.059184,1244.32029,0.044755556
World,OWID_WRL,1985,23906.3229,0.011747475,33860.60103,16261.15125,10540.92553,77.79223118,1979.589773,1488.972882,0.064220202
World,OWID_WRL,1986,24182.95534,0.015183838,34887.86085,16420.68427,10652.57239,85.57913281,2006.711404,1594.79042,0.138831313
World,OWID_WRL,1987,25145.10228,0.01060303,35582.99789,17282.08421,10765.40179,91.64285434,2034.514633,1734.782557,0.195376768
World,OWID_WRL,1988,25889.97449,0.01019596,36771.76521,18089.07306,10879.42625,94.28072727,2099.110818,1891.325259,0.331579798
World,OWID_WRL,1989,26152.07667,0.262223232,37373.13853,18894.00729,10994.65842,104.0343128,2086.54119,1945.080248,2.649776768
World,OWID_WRL,1990,25817.67196,0.388294949,37812.16755,19484.92659,11111.11111,116.5403296,2161.048084,2000.4748,3.632470516
World,OWID_WRL,1991,25533.21512,0.505202873,37816.59291,19976.49207,11242.7549,121.4972461,2213.132757,2096.191769,4.086706675
World,OWID_WRL,1992,25466.19301,0.468585109,38463.23438,19979.27205,11375.95839,130.4426248,2211.505593,2112.109454,4.733212019
World,OWID_WRL,1993,25586.69484,0.556697524,38223.25269,20269.97175,11510.74008,134.8256748,2344.266151,2184.848734,5.697568819
World,OWID_WRL,1994,25721.52297,0.600013925,39070.1514,20394.17539,11647.11865,139.9144829,2359.692519,2225.875895,7.122929844
World,OWID_WRL,1995,25856.08385,0.640813779,39586.61993,21109.39574,11785.11302,145.7193741,2488.98502,2322.415628,8.261923444
World,OWID_WRL,1996,26511.41236,0.705207972,40520.71726,22164.3721,11924.74234,149.8129284,2523.82594,2406.823606,9.204600661
World,OWID_WRL,1997,26532.9869,0.756584792,41571.92881,22035.24458,12066.02598,161.0667253,2569.62389,2390.296716,12.01781647
World,OWID_WRL,1998,26342.08007,0.831788965,41786.6139,22438.76203,12208.98355,168.5713392,2590.559549,2431.38596,15.92126027
World,OWID_WRL,1999,26527.07361,0.916196899,42532.7939,23073.93867,12414.05573,177.1983164,2608.2995,2524.369196,21.21617401
World,OWID_WRL,2000,27421.73054,1.125407397,43057.58309,23991.12594,12500,185.4523814,2654.703506,2580.913075,31.42093656
World,OWID_WRL,2001,27876.20723,1.409073679,43449.04636,24325.44255,12500,191.2285146,2586.479369,2653.772909,38.39094695
World,OWID_WRL,2002,28956.94683,1.775371131,43825.34827,25046.1123,12470,205.8531818,2633.589747,2696.174443,52.33175697
World,OWID_WRL,2003,31507.02955,2.269183155,44812.13186,25735.37157,12328.70237,217.3791491,2628.619237,2641.579545,62.91692708
World,OWID_WRL,2004,33687.35365,2.986799218,46503.83122,26717.42319,12159.75217,234.5727394,2805.326672,2757.125213,85.11716233
World,OWID_WRL,2005,36152.45507,4.177705657,47113.11173,27445.42125,12076.14729,254.823595,2915.841286,2769.05009,104.0858648
World,OWID_WRL,2006,38043.87536,5.732719865,47719.45312,28137.32397,11993.11724,271.8727605,3026.572097,2803.581451,132.8590679
World,OWID_WRL,2007,40172.65615,7.771912906,48426.29396,29289.56238,11910.65806,294.8394485,3079.435042,2746.439051,170.6825859
World,OWID_WRL,2008,40744.64348,12.62213956,48181.3762,29987.60595,11828.76583,315.0463315,3256.250267,2737.860822,220.5721193
World,OWID_WRL,2009,40130.96665,20.96502348,47374.13569,29377.66379,11747.43666,339.413259,3250.203194,2699.245242,275.9492931
World,OWID_WRL,2010,41985.08246,33.68315726,48868.62035,31566.99647,11666.66667,378.8514792,3432.948977,2767.507814,341.6144784
World,OWID_WRL,2011,43990.61475,65.03586217,49376.9783,32333.01912,11553.3766,397.9084392,3499.199595,2651.771616,436.7864088
World,OWID_WRL,2012,44161.26699,100.7644319,49983.18506,33175.25407,11441.18663,430.8496574,3666.772983,2472.44864,523.8093983
World,OWID_WRL,2013,44973.42328,139.0585712,50594.42023,33697.55048,11330.0861,464.0602093,3793.229045,2491.673601,645.3021853
World,OWID_WRL,2014,44940.52703,197.9105084,51001.52584,33926.40425,11220.06442,502.1589191,3883.143443,2540.752541,712.0316972
World,OWID_WRL,2015,43832.91321,260.7392188,51936.74642,34664.70898,11111.11111,536.4662441,3884.417357,2575.556604,831.3845072
World,OWID_WRL,2016,43147.84934,328.3781145,52896.44423,35501.87446,11111.11111,556.6233559,4017.743773,2615.242039,956.8735422
World,OWID_WRL,2017,43245.45931,453.5176575,53579.46013,36540.20803,11111.11111,584.975827,4065.443127,2638.982195,1127.989587
World,OWID_WRL,2018,43869.47664,584.6309178,54219.68079,38488.57083,11111.11111,625.8053618,4193.104151,2701.431999,1269.953375
