Macrotrends Data Download



DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
2007-04-23,7.2400
2007-04-24,7.5700
2007-04-25,7.6000
2007-04-26,7.5600
2007-04-27,7.4400
2007-04-30,7.7100
2007-05-01,7.6400
2007-05-02,7.6400
2007-05-03,7.5800
2007-05-04,7.8200
2007-05-07,7.6900
2007-05-08,7.5000
2007-05-09,7.4600
2007-05-10,7.6300
2007-05-11,7.5300
2007-05-14,7.8500
2007-05-15,7.6800
2007-05-16,7.6200
2007-05-17,7.6900
2007-05-18,7.8700
2007-05-21,7.6600
2007-05-22,7.6000
2007-05-23,7.5100
2007-05-24,7.5600
2007-05-25,7.4700
2007-05-29,7.5100
2007-05-30,7.7100
2007-05-31,7.8000
2007-06-01,7.5700
2007-06-04,7.7300
2007-06-05,7.8300
2007-06-06,7.8300
2007-06-07,7.8900
2007-06-08,7.5200
2007-06-11,7.4200
2007-06-12,7.4500
2007-06-13,7.6000
2007-06-14,7.4800
2007-06-15,7.5800
2007-06-18,7.6900
2007-06-19,7.4600
2007-06-20,7.3900
2007-06-21,7.2400
2007-06-22,7.0400
2007-06-25,6.7700
2007-06-26,6.8500
2007-06-27,6.7400
2007-06-28,6.7900
2007-06-29,6.4000
2007-07-02,6.2400
2007-07-03,6.3700
2007-07-05,6.3000
2007-07-06,6.1500
2007-07-09,6.3900
2007-07-10,6.4400
2007-07-11,6.6600
2007-07-12,6.2600
2007-07-13,6.2700
2007-07-16,6.3200
2007-07-17,6.3400
2007-07-18,6.2300
2007-07-19,6.5000
2007-07-20,6.4600
2007-07-23,6.0000
2007-07-24,5.6600
2007-07-25,5.5600
2007-07-26,5.8300
2007-07-27,5.7700
2007-07-30,6.3100
2007-07-31,6.5300
2007-08-01,6.1900
2007-08-02,6.3400
2007-08-03,6.1100
2007-08-06,6.1000
2007-08-07,6.3800
2007-08-08,6.2400
2007-08-09,6.4500
2007-08-10,6.5700
2007-08-13,7.1500
2007-08-14,6.8600
2007-08-15,7.3000
2007-08-16,6.9600
2007-08-17,7.1400
2007-08-20,6.4700
2007-08-21,5.9200
2007-08-22,5.8400
2007-08-23,5.7300
2007-08-24,5.6900
2007-08-27,5.3400
2007-08-28,5.5600
2007-08-29,5.6400
2007-08-30,5.5400
2007-08-31,5.4900
2007-09-04,5.3000
2007-09-05,5.8000
2007-09-06,6.0200
2007-09-07,5.5300
2007-09-10,5.5600
2007-09-11,5.9800
2007-09-12,6.1300
2007-09-13,6.2700
2007-09-14,6.2300
2007-09-17,6.3800
2007-09-18,6.4200
2007-09-19,6.2500
2007-09-20,6.0200
2007-09-21,5.9600
2007-09-24,6.1200
2007-09-25,6.5400
2007-09-26,6.4700
2007-09-27,6.3800
2007-09-28,6.1500
2007-10-01,6.0700
2007-10-02,6.5500
2007-10-03,6.9600
2007-10-04,6.9100
2007-10-05,6.7700
2007-10-08,6.6900
2007-10-09,6.6300
2007-10-10,6.7900
2007-10-11,6.8500
2007-10-12,6.4600
2007-10-15,7.0900
2007-10-16,7.2900
2007-10-17,7.1200
2007-10-18,7.1100
2007-10-19,6.9100
2007-10-22,6.6300
2007-10-23,6.3000
2007-10-24,6.1100
2007-10-25,6.4900
2007-10-26,6.4300
2007-10-29,6.6600
2007-10-30,6.9900
2007-10-31,7.2800
2007-11-01,7.0900
2007-11-02,6.6300
2007-11-05,6.7100
2007-11-06,7.2000
2007-11-07,7.4200
2007-11-08,6.8100
2007-11-09,6.5900
2007-11-12,6.8300
2007-11-13,7.2200
2007-11-14,7.2800
2007-11-15,7.3500
2007-11-16,7.2900
2007-11-19,7.3800
2007-11-20,6.8100
2007-11-21,6.6700
2007-11-23,6.6700
2007-11-26,7.5300
2007-11-27,7.4200
2007-11-28,7.5100
2007-11-29,7.4500
2007-11-30,7.2900
2007-12-03,6.9700
2007-12-04,7.2700
2007-12-05,7.0400
2007-12-06,7.2900
2007-12-07,7.0400
2007-12-10,6.9800
2007-12-11,7.1200
2007-12-12,7.2200
2007-12-13,7.4600
2007-12-14,7.0900
2007-12-17,7.0600
2007-12-18,7.1600
2007-12-19,7.1800
2007-12-20,7.1900
2007-12-21,7.0300
2007-12-24,7.0300
2007-12-26,6.9400
2007-12-27,6.8000
2007-12-28,7.1100
2007-12-31,7.1100
2008-01-02,7.8300
2008-01-03,7.8400
2008-01-04,7.5100
2008-01-07,7.6100
2008-01-08,7.5900
2008-01-09,7.8900
2008-01-10,7.9600
2008-01-11,8.1300
2008-01-14,8.4500
2008-01-15,8.4300
2008-01-16,8.2300
2008-01-17,8.1000
2008-01-18,8.4200
2008-01-22,7.9700
2008-01-23,7.8400
2008-01-24,7.8500
2008-01-25,7.8000
2008-01-28,7.8700
2008-01-29,8.1000
2008-01-30,8.1700
2008-01-31,8.1000
2008-02-01,7.8800
2008-02-04,7.5600
2008-02-05,7.8000
2008-02-06,7.9400
2008-02-07,7.9900
2008-02-08,8.0600
2008-02-11,8.3800
2008-02-12,8.3700
2008-02-13,8.3500
2008-02-14,8.5000
2008-02-15,8.7300
2008-02-19,8.9100
2008-02-20,9.0800
2008-02-21,8.9000
2008-02-22,8.6500
2008-02-25,9.1500
2008-02-26,9.2100
2008-02-27,9.2100
2008-02-28,9.1100
2008-02-29,9.1000
2008-03-03,9.0700
2008-03-04,9.2100
2008-03-05,9.3700
2008-03-06,9.7000
2008-03-07,9.8200
2008-03-10,9.5900
2008-03-11,9.8500
2008-03-12,9.6900
2008-03-13,9.7400
2008-03-14,9.8400
2008-03-17,9.5900
2008-03-18,9.1000
2008-03-19,9.1100
2008-03-20,8.5400
2008-03-24,8.9900
2008-03-25,9.2800
2008-03-26,9.2500
2008-03-27,9.3000
2008-03-28,9.3600
2008-03-31,9.8600
2008-04-01,9.9200
2008-04-02,9.6000
2008-04-03,9.6800
2008-04-04,9.3600
2008-04-07,9.4800
2008-04-08,9.7800
2008-04-09,9.8800
2008-04-10,10.1800
2008-04-11,10.0700
2008-04-14,10.0300
2008-04-15,10.1600
2008-04-16,10.1100
2008-04-17,10.2700
2008-04-18,10.0800
2008-04-21,10.5000
2008-04-22,10.5600
2008-04-23,10.3300
2008-04-24,10.5800
2008-04-25,10.7200
2008-04-28,10.9500
2008-04-29,10.9400
2008-04-30,10.8100
2008-05-01,10.6600
2008-05-02,10.3700
2008-05-05,10.7700
2008-05-06,11.0900
2008-05-07,11.0800
2008-05-08,11.3300
2008-05-09,11.2900
2008-05-12,11.3800
2008-05-13,11.1800
2008-05-14,11.5200
2008-05-15,11.4100
2008-05-16,11.3100
2008-05-19,11.1000
2008-05-20,10.9400
2008-05-21,11.4000
2008-05-22,11.5700
2008-05-23,11.5600
