Macrotrends Data Download

Platinum Prices - Interactive Historical Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1969-01-02,237.5000
1969-01-03,237.6000
1969-01-06,237.0000
1969-01-07,235.0000
1969-01-08,236.1000
1969-01-09,234.8000
1969-01-10,235.0000
1969-01-13,235.5000
1969-01-14,236.1000
1969-01-15,237.0000
1969-01-16,237.5000
1969-01-17,235.6000
1969-01-20,236.8000
1969-01-21,238.0000
1969-01-22,237.1000
1969-01-23,235.5000
1969-01-24,237.3000
1969-01-27,237.0000
1969-01-28,237.0000
1969-01-29,237.5000
1969-01-30,237.0000
1969-01-31,235.7000
1969-02-03,234.5000
1969-02-04,235.2000
1969-02-05,233.6000
1969-02-06,233.0000
1969-02-07,230.5000
1969-02-11,223.5000
1969-02-12,224.5000
1969-02-13,222.5000
1969-02-14,221.7000
1969-02-17,223.7000
1969-02-18,220.5000
1969-02-19,226.0000
1969-02-20,226.0000
1969-02-24,227.5000
1969-02-25,228.0000
1969-02-26,227.0000
1969-02-27,227.2000
1969-02-28,225.5000
1969-03-03,226.5000
1969-03-04,228.5000
1969-03-05,227.5000
1969-03-06,229.5000
1969-03-07,230.5000
1969-03-10,230.0000
1969-03-11,226.5000
1969-03-12,227.5000
1969-03-13,228.0000
1969-03-14,226.5000
1969-03-17,225.0000
1969-03-18,222.6000
1969-03-19,223.5000
1969-03-20,223.0000
1969-03-21,223.5000
1969-03-24,221.0000
1969-03-25,220.0000
1969-03-26,219.0000
1969-03-27,220.0000
1969-03-28,216.5000
1969-04-01,210.0000
1969-04-02,207.0000
1969-04-03,207.3000
1969-04-07,202.0000
1969-04-08,195.1000
1969-04-09,198.2000
1969-04-10,199.5000
1969-04-11,198.0000
1969-04-14,194.0000
1969-04-15,192.0000
1969-04-16,182.5000
1969-04-17,175.0000
1969-04-18,176.0000
1969-04-21,177.0000
1969-04-22,174.0000
1969-04-23,182.5000
1969-04-24,187.0000
1969-04-25,184.5000
1969-04-28,187.0000
1969-04-29,185.0000
1969-04-30,181.5000
1969-05-01,181.0000
1969-05-02,183.0000
1969-05-05,182.0000
1969-05-06,181.5000
1969-05-07,187.0000
1969-05-08,188.0000
1969-05-09,186.0000
1969-05-12,181.0000
1969-05-13,176.0000
1969-05-14,177.0000
1969-05-15,181.0000
1969-05-16,180.0000
1969-05-19,178.0000
1969-05-21,180.0000
1969-05-22,182.5000
