Macrotrends Data Download

Saudi Arabia Crude Oil Production - Interactive Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1994-01-01,8.068
1994-02-01,8.061
1994-03-01,8.068
1994-04-01,8.083
1994-05-01,8.063
1994-06-01,8.063
1994-07-01,8.073
1994-08-01,8.093
1994-09-01,8.153
1994-10-01,8.218
1994-11-01,8.218
1994-12-01,8.273
1995-01-01,8.120
1995-02-01,8.220
1995-03-01,8.110
1995-04-01,8.220
1995-05-01,8.400
1995-06-01,8.100
1995-07-01,8.410
1995-08-01,8.425
1995-09-01,8.315
1995-10-01,8.315
1995-11-01,8.020
1995-12-01,8.110
1996-01-01,8.118
1996-02-01,8.248
1996-03-01,8.248
1996-04-01,8.088
1996-05-01,8.135
1996-06-01,8.195
1996-07-01,8.295
1996-08-01,8.220
1996-09-01,8.200
1996-10-01,8.255
1996-11-01,8.255
1996-12-01,8.358
1997-01-01,8.072
1997-02-01,8.212
1997-03-01,8.316
1997-04-01,8.368
1997-05-01,8.348
1997-06-01,8.341
1997-07-01,8.360
1997-08-01,8.458
1997-09-01,8.463
1997-10-01,8.463
1997-11-01,8.414
1997-12-01,8.521
1998-01-01,8.765
1998-02-01,8.760
1998-03-01,8.460
1998-04-01,8.585
1998-05-01,8.625
1998-06-01,8.325
1998-07-01,8.275
1998-08-01,8.225
1998-09-01,8.173
1998-10-01,8.220
1998-11-01,8.170
1998-12-01,8.110
1999-01-01,8.065
1999-02-01,8.165
1999-03-01,8.220
1999-04-01,7.665
1999-05-01,7.665
1999-06-01,7.610
1999-07-01,7.610
1999-08-01,7.710
1999-09-01,7.735
1999-10-01,7.845
1999-11-01,7.865
1999-12-01,7.863
2000-01-01,7.863
2000-02-01,7.865
2000-03-01,7.865
2000-04-01,8.100
2000-05-01,8.200
2000-06-01,8.250
2000-07-01,8.390
2000-08-01,8.823
2000-09-01,8.975
2000-10-01,8.800
2000-11-01,8.900
2000-12-01,8.800
2001-01-01,8.700
2001-02-01,8.320
2001-03-01,8.300
2001-04-01,7.950
2001-05-01,8.000
2001-06-01,8.050
2001-07-01,8.250
2001-08-01,8.070
2001-09-01,7.800
2001-10-01,7.670
2001-11-01,7.670
2001-12-01,7.600
2002-01-01,7.300
2002-02-01,7.210
2002-03-01,7.310
2002-04-01,7.455
2002-05-01,7.450
2002-06-01,7.500
2002-07-01,7.700
2002-08-01,7.730
2002-09-01,7.880
2002-10-01,7.900
2002-11-01,8.100
2002-12-01,8.050
2003-01-01,8.499
2003-02-01,8.797
2003-03-01,9.382
2003-04-01,9.521
2003-05-01,9.322
2003-06-01,8.628
2003-07-01,8.539
2003-08-01,8.539
2003-09-01,8.479
2003-10-01,8.578
2003-11-01,8.430
2003-12-01,8.588
2004-01-01,8.700
2004-02-01,8.700
2004-03-01,8.400
2004-04-01,8.400
2004-05-01,8.500
2004-06-01,9.500
2004-07-01,9.500
2004-08-01,9.500
2004-09-01,9.500
2004-10-01,9.500
2004-11-01,9.500
2004-12-01,9.500
2005-01-01,9.500
2005-02-01,9.500
2005-03-01,9.500
2005-04-01,9.600
2005-05-01,9.600
2005-06-01,9.600
2005-07-01,9.600
2005-08-01,9.600
2005-09-01,9.600
2005-10-01,9.500
2005-11-01,9.500
2005-12-01,9.500
2006-01-01,9.400
2006-02-01,9.500
2006-03-01,9.350
2006-04-01,9.350
2006-05-01,9.200
2006-06-01,9.100
2006-07-01,9.300
2006-08-01,9.300
2006-09-01,9.000
2006-10-01,8.800
2006-11-01,8.800
2006-12-01,8.750
2007-01-01,8.750
2007-02-01,8.600
2007-03-01,8.600
2007-04-01,8.600
2007-05-01,8.600
2007-06-01,8.600
2007-07-01,8.600
2007-08-01,8.600
2007-09-01,8.800
2007-10-01,8.800
2007-11-01,9.000
2007-12-01,9.100
2008-01-01,9.200
2008-02-01,9.200
2008-03-01,9.200
2008-04-01,9.100
2008-05-01,9.400
2008-06-01,9.450
2008-07-01,9.700
2008-08-01,9.600
2008-09-01,9.400
2008-10-01,9.400
2008-11-01,8.950
2008-12-01,8.500
2009-01-01,8.100
2009-02-01,8.050
2009-03-01,8.050
2009-04-01,8.050
2009-05-01,8.050
2009-06-01,8.300
2009-07-01,8.500
2009-08-01,8.400
2009-09-01,8.300
2009-10-01,8.300
2009-11-01,8.300
2009-12-01,8.200
2010-01-01,8.200
2010-02-01,8.400
2010-03-01,8.500
2010-04-01,8.700
2010-05-01,8.700
2010-06-01,9.200
2010-07-01,9.300
2010-08-01,9.300
2010-09-01,9.300
2010-10-01,8.800
2010-11-01,9.000
2010-12-01,8.900
2011-01-01,9.100
2011-02-01,9.100
2011-03-01,8.900
2011-04-01,8.900
2011-05-01,8.900
2011-06-01,9.600
2011-07-01,9.800
2011-08-01,9.900
2011-09-01,9.700
2011-10-01,9.500
2011-11-01,9.800
2011-12-01,9.800
2012-01-01,9.800
2012-02-01,10.000
2012-03-01,9.990
2012-04-01,9.890
2012-05-01,9.690
2012-06-01,9.980
2012-07-01,9.975
2012-08-01,9.975
2012-09-01,9.760
2012-10-01,9.760
2012-11-01,9.500
2012-12-01,9.200
2013-01-01,9.100
2013-02-01,9.100
2013-03-01,9.100
2013-04-01,9.400
2013-05-01,9.600
2013-06-01,9.800
2013-07-01,10.000
2013-08-01,10.200
2013-09-01,10.100
2013-10-01,9.800
2013-11-01,9.800
2013-12-01,9.800
2014-01-01,9.900
2014-02-01,9.850
2014-03-01,9.650
2014-04-01,9.650
2014-05-01,9.650
2014-06-01,9.650
2014-07-01,9.800
2014-08-01,9.700
2014-09-01,9.600
2014-10-01,9.700
2014-11-01,9.600
2014-12-01,9.600
2015-01-01,9.600
2015-02-01,9.700
2015-03-01,10.100
2015-04-01,10.100
2015-05-01,10.300
2015-06-01,10.450
2015-07-01,10.360
2015-08-01,10.250
2015-09-01,10.250
2015-10-01,10.200
2015-11-01,10.100
2015-12-01,10.100
2016-01-01,10.200
2016-02-01,10.200
2016-03-01,10.200
2016-04-01,10.200
2016-05-01,10.300
2016-06-01,10.500
2016-07-01,10.630
2016-08-01,10.600
2016-09-01,10.560
2016-10-01,10.550
2016-11-01,10.600
2016-12-01,10.500
2017-01-01,9.980
2017-02-01,10.000
2017-03-01,9.950
2017-04-01,9.980
2017-05-01,10.050
2017-06-01,10.250
2017-07-01,10.200
2017-08-01,10.140
2017-09-01,10.190
2017-10-01,10.160
2017-11-01,10.130
2017-12-01,10.060
2018-01-01,10.160
2018-02-01,10.100
2018-03-01,10.050
2018-04-01,10.060
2018-05-01,10.120
2018-06-01,10.420
2018-07-01,10.480
2018-08-01,10.420
2018-09-01,10.520
2018-10-01,10.720
2018-11-01,11.000
2018-12-01,10.500
2019-01-01,10.050
2019-02-01,10.100
2019-03-01,9.850
2019-04-01,9.850
2019-05-01,9.900
2019-06-01,10.000
2019-07-01,9.750
2019-08-01,9.850
2019-09-01,8.500
2019-10-01,9.850
2019-11-01,9.900
2019-12-01,9.750
2020-01-01,9.850
2020-02-01,9.650
2020-03-01,9.800
2020-04-01
2020-05-01
2020-06-01
2020-07-01
2020-08-01
2020-09-01
2020-10-01
2020-11-01
2020-12-01
2021-01-01
2021-02-01
2021-03-01
