Macrotrends Data Download

U.S. Crude Oil Production - Historical Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1983-01-01,8634.000
1983-02-01,8660.000
1983-03-01,8677.000
1983-04-01,8686.000
1983-05-01,8682.000
1983-06-01,8676.000
1983-07-01,8647.000
1983-08-01,8653.000
1983-09-01,8666.000
1983-10-01,8654.000
1983-11-01,8624.000
1983-12-01,8612.000
1984-01-01,8659.000
1984-02-01,8726.000
1984-03-01,8718.000
1984-04-01,8688.000
1984-05-01,8753.000
1984-06-01,8743.000
1984-07-01,8769.000
1984-08-01,8781.000
1984-09-01,8759.000
1984-10-01,8847.000
1984-11-01,8846.000
1984-12-01,8797.000
1985-01-01,8929.000
1985-02-01,8928.000
1985-03-01,8927.000
1985-04-01,8842.000
1985-05-01,8969.000
1985-06-01,8965.000
1985-07-01,8904.000
1985-08-01,8895.000
1985-09-01,8874.000
1985-10-01,8943.000
1985-11-01,8932.000
1985-12-01,8930.000
1986-01-01,8942.000
1986-02-01,8939.000
1986-03-01,8939.000
1986-04-01,8815.000
1986-05-01,8805.000
1986-06-01,8792.000
1986-07-01,8737.000
1986-08-01,8708.000
1986-09-01,8671.000
1986-10-01,8773.000
1986-11-01,8321.000
1986-12-01,8348.000
1987-01-01,8354.000
1987-02-01,8383.000
1987-03-01,8336.000
1987-04-01,8361.000
1987-05-01,8296.000
1987-06-01,8303.000
1987-07-01,8287.000
1987-08-01,8204.000
1987-09-01,8162.000
1987-10-01,8281.000
1987-11-01,8283.000
1987-12-01,8348.000
1988-01-01,8395.000
1988-02-01,8353.000
1988-03-01,8306.000
1988-04-01,8269.000
1988-05-01,8240.000
1988-06-01,8210.000
1988-07-01,8189.000
1988-08-01,8128.000
1988-09-01,8147.000
1988-10-01,8085.000
1988-11-01,8026.000
1988-12-01,8035.000
1989-01-01,8021.000
1989-02-01,7965.000
1989-03-01,7921.000
1989-04-01,7880.000
1989-05-01,7843.000
1989-06-01,7726.000
1989-07-01,7622.000
1989-08-01,7662.000
1989-09-01,7641.000
1989-10-01,7644.000
1989-11-01,7601.000
1989-12-01,7565.000
1990-01-01,7512.000
1990-02-01,7399.000
1990-03-01,7411.000
1990-04-01,7310.000
1990-05-01,7241.000
1990-06-01,6981.000
1990-07-01,7130.000
1990-08-01,6971.000
1990-09-01,7041.000
1990-10-01,7329.000
1990-11-01,7235.000
1990-12-01,7559.000
1991-01-01,7219.000
1991-02-01,7415.000
1991-03-01,7383.000
1991-04-01,7346.000
1991-05-01,7323.000
1991-06-01,7377.000
1991-07-01,7355.000
1991-08-01,7274.000
1991-09-01,7365.000
1991-10-01,7384.000
1991-11-01,7226.000
1991-12-01,7449.000
1992-01-01,7357.000
1992-02-01,7365.000
1992-03-01,7283.000
1992-04-01,7238.000
1992-05-01,7219.000
1992-06-01,7194.000
1992-07-01,7059.000
1992-08-01,6678.000
1992-09-01,7049.000
1992-10-01,7041.000
1992-11-01,7064.000
1992-12-01,7053.000
1993-01-01,7035.000
1993-02-01,6981.000
1993-03-01,6964.000
1993-04-01,6913.000
1993-05-01,6842.000
1993-06-01,6749.000
1993-07-01,6730.000
1993-08-01,6790.000
1993-09-01,6650.000
1993-10-01,6868.000
1993-11-01,6878.000
1993-12-01,6857.000
1994-01-01,6886.000
1994-02-01,6792.000
1994-03-01,6599.000
1994-04-01,6748.000
1994-05-01,6629.000
1994-06-01,6656.000
1994-07-01,6566.000
1994-08-01,6583.000
1994-09-01,6640.000
1994-10-01,6633.000
1994-11-01,6626.000
1994-12-01,6675.000
1995-01-01,6526.000
1995-02-01,6546.000
1995-03-01,6380.000
1995-04-01,6539.000
1995-05-01,6626.000
1995-06-01,6545.000
1995-07-01,6484.000
1995-08-01,6483.000
1995-09-01,6450.000
1995-10-01,6512.000
1995-11-01,6484.000
1995-12-01,6474.000
1996-01-01,6405.000
1996-02-01,6501.000
1996-03-01,6440.000
1996-04-01,6173.000
1996-05-01,6392.000
1996-06-01,6489.000
1996-07-01,6394.000
1996-08-01,6526.000
1996-09-01,6520.000
1996-10-01,6514.000
1996-11-01,6538.000
1996-12-01,6506.000
1997-01-01,6505.000
1997-02-01,6501.000
1997-03-01,6409.000
1997-04-01,6465.000
1997-05-01,6439.000
1997-06-01,6357.000
1997-07-01,6337.000
1997-08-01,6400.000
1997-09-01,6396.000
1997-10-01,6400.000
1997-11-01,6416.000
1997-12-01,6462.000
1998-01-01,6377.000
1998-02-01,6368.000
1998-03-01,6405.000
1998-04-01,6397.000
1998-05-01,6346.000
