,unit,na_item,geo,time,value
0,"Chain linked volumes (2005), million euro","Value added, gross",Austria,2010,241601.7
1,"Chain linked volumes (2005), million euro","Value added, gross",Austria,2011,249489.2
2,"Chain linked volumes (2005), million euro","Value added, gross",Austria,2012,250808.6
3,"Chain linked volumes (2005), million euro","Value added, gross",Austria,2013,251167.1
4,"Chain linked volumes (2005), million euro","Value added, gross",Austria,2014,252879.7
5,"Chain linked volumes (2005), million euro","Value added, gross",Austria,2015,255017.1
6,"Chain linked volumes (2005), million euro","Value added, gross",Austria,2016,260239.3
7,"Chain linked volumes (2005), million euro","Value added, gross",Austria,2017,266975.6
8,"Chain linked volumes (2005), million euro","Value added, gross",Austria,2018,274012.8
9,"Chain linked volumes (2005), million euro","Value added, gross",Austria,2019,278666.6
10,"Chain linked volumes (2005), million euro","Value added, gross",Belgium,2010,298892.6
11,"Chain linked volumes (2005), million euro","Value added, gross",Belgium,2011,304824.1
12,"Chain linked volumes (2005), million euro","Value added, gross",Belgium,2012,307227.8
13,"Chain linked volumes (2005), million euro","Value added, gross",Belgium,2013,308495.6
14,"Chain linked volumes (2005), million euro","Value added, gross",Belgium,2014,313684.5
15,"Chain linked volumes (2005), million euro","Value added, gross",Belgium,2015,320627.1
16,"Chain linked volumes (2005), million euro","Value added, gross",Belgium,2016,324396.7
17,"Chain linked volumes (2005), million euro","Value added, gross",Belgium,2017,330669.4
18,"Chain linked volumes (2005), million euro","Value added, gross",Belgium,2018,335501.2
19,"Chain linked volumes (2005), million euro","Value added, gross",Belgium,2019,340098.7
20,"Chain linked volumes (2005), million euro","Value added, gross",Bulgaria,2010,24727.3
21,"Chain linked volumes (2005), million euro","Value added, gross",Bulgaria,2011,25372.0
22,"Chain linked volumes (2005), million euro","Value added, gross",Bulgaria,2012,25266.9
23,"Chain linked volumes (2005), million euro","Value added, gross",Bulgaria,2013,25219.2
24,"Chain linked volumes (2005), million euro","Value added, gross",Bulgaria,2014,25768.7
25,"Chain linked volumes (2005), million euro","Value added, gross",Bulgaria,2015,26661.0
26,"Chain linked volumes (2005), million euro","Value added, gross",Bulgaria,2016,27602.5
27,"Chain linked volumes (2005), million euro","Value added, gross",Bulgaria,2017,28750.3
28,"Chain linked volumes (2005), million euro","Value added, gross",Bulgaria,2018,29749.3
29,"Chain linked volumes (2005), million euro","Value added, gross",Bulgaria,2019,30629.9
30,"Chain linked volumes (2005), million euro","Value added, gross",Switzerland,2010,351479.6
31,"Chain linked volumes (2005), million euro","Value added, gross",Switzerland,2011,357979.5
32,"Chain linked volumes (2005), million euro","Value added, gross",Switzerland,2012,362016.3
33,"Chain linked volumes (2005), million euro","Value added, gross",Switzerland,2013,368808.8
