,geo,time,value
0,Albania,2010-01-01,
1,Albania,2010-02-01,
2,Albania,2010-03-01,
3,Albania,2010-04-01,
4,Albania,2010-05-01,
5,Albania,2010-06-01,
6,Albania,2010-07-01,
7,Albania,2010-08-01,
8,Albania,2010-09-01,
9,Albania,2010-10-01,
10,Albania,2010-11-01,
11,Albania,2010-12-01,
12,Albania,2011-01-01,
13,Albania,2011-02-01,
14,Albania,2011-03-01,
15,Albania,2011-04-01,
16,Albania,2011-05-01,
17,Albania,2011-06-01,
18,Albania,2011-07-01,
19,Albania,2011-08-01,
20,Albania,2011-09-01,
21,Albania,2011-10-01,
22,Albania,2011-11-01,
23,Albania,2011-12-01,
24,Albania,2012-01-01,
25,Albania,2012-02-01,
26,Albania,2012-03-01,
27,Albania,2012-04-01,
28,Albania,2012-05-01,
29,Albania,2012-06-01,
30,Albania,2012-07-01,
31,Albania,2012-08-01,
32,Albania,2012-09-01,
33,Albania,2012-10-01,
34,Albania,2012-11-01,
35,Albania,2012-12-01,
36,Albania,2013-01-01,
37,Albania,2013-02-01,
38,Albania,2013-03-01,
39,Albania,2013-04-01,
40,Albania,2013-05-01,
41,Albania,2013-06-01,
42,Albania,2013-07-01,
43,Albania,2013-08-01,
44,Albania,2013-09-01,
45,Albania,2013-10-01,
46,Albania,2013-11-01,
47,Albania,2013-12-01,
48,Albania,2014-01-01,
49,Albania,2014-02-01,
50,Albania,2014-03-01,
51,Albania,2014-04-01,
52,Albania,2014-05-01,
53,Albania,2014-06-01,
54,Albania,2014-07-01,
55,Albania,2014-08-01,
56,Albania,2014-09-01,
57,Albania,2014-10-01,
58,Albania,2014-11-01,
59,Albania,2014-12-01,
60,Albania,2015-01-01,1.43
61,Albania,2015-02-01,1.32
62,Albania,2015-03-01,1.18
63,Albania,2015-04-01,1.46
64,Albania,2015-05-01,1.34
65,Albania,2015-06-01,1.27
66,Albania,2015-07-01,1.31
67,Albania,2015-08-01,1.42
68,Albania,2015-09-01,1.53
69,Albania,2015-10-01,1.39
70,Albania,2015-11-01,1.49
71,Albania,2015-12-01,1.83
72,Albania,2016-01-01,1.5
73,Albania,2016-02-01,1.47
74,Albania,2016-03-01,0.76
75,Albania,2016-04-01,1.31
76,Albania,2016-05-01,1.33
77,Albania,2016-06-01,1.61
78,Albania,2016-07-01,0.27
79,Albania,2016-08-01,0.0
80,Albania,2016-09-01,4.78
81,Albania,2016-10-01,4.27
82,Albania,2016-11-01,3.09
83,Albania,2016-12-01,2.52
84,Albania,2017-01-01,1.9
85,Albania,2017-02-01,1.51
86,Albania,2017-03-01,1.49
87,Albania,2017-04-01,3.03
88,Albania,2017-05-01,2.48
89,Albania,2017-06-01,2.61
90,Albania,2017-07-01,0.93
91,Albania,2017-08-01,1.68
92,Albania,2017-09-01,0.88
93,Albania,2017-10-01,2.13
94,Albania,2017-11-01,1.48
95,Albania,2017-12-01,2.09
96,Albania,2018-01-01,0.71
97,Albania,2018-02-01,0.96
98,Albania,2018-03-01,1.91
99,Albania,2018-04-01,1.05
100,Albania,2018-05-01,0.98
101,Albania,2018-06-01,1.06
102,Albania,2018-07-01,1.27
103,Albania,2018-08-01,1.35
104,Albania,2018-09-01,1.18
105,Albania,2018-10-01,1.06
106,Albania,2018-11-01,1.13
107,Albania,2018-12-01,1.38
108,Albania,2019-01-01,0.84
109,Albania,2019-02-01,0.81
110,Albania,2019-03-01,0.83
111,Albania,2019-04-01,1.07
112,Albania,2019-05-01,0.86
113,Albania,2019-06-01,0.82
114,Albania,2019-07-01,0.88
115,Albania,2019-08-01,1.04
116,Albania,2019-09-01,0.77
117,Albania,2019-10-01,1.09
118,Albania,2019-11-01,0.86
119,Albania,2019-12-01,1.27
120,Austria,2010-01-01,46.66
121,Austria,2010-02-01,43.92
