,geo,time,value
0,Bulgaria,2010-01-01,
1,Bulgaria,2010-02-01,
2,Bulgaria,2010-03-01,
3,Bulgaria,2010-04-01,
4,Bulgaria,2010-05-01,
5,Bulgaria,2010-06-01,
6,Bulgaria,2010-07-01,
7,Bulgaria,2010-08-01,
8,Bulgaria,2010-09-01,
9,Bulgaria,2010-10-01,
10,Bulgaria,2010-11-01,
11,Bulgaria,2010-12-01,
12,Bulgaria,2011-01-01,
13,Bulgaria,2011-02-01,
14,Bulgaria,2011-03-01,
15,Bulgaria,2011-04-01,
16,Bulgaria,2011-05-01,
17,Bulgaria,2011-06-01,
18,Bulgaria,2011-07-01,
19,Bulgaria,2011-08-01,
20,Bulgaria,2011-09-01,
21,Bulgaria,2011-10-01,
22,Bulgaria,2011-11-01,
23,Bulgaria,2011-12-01,
24,Bulgaria,2012-01-01,
25,Bulgaria,2012-02-01,
26,Bulgaria,2012-03-01,
27,Bulgaria,2012-04-01,
28,Bulgaria,2012-05-01,
29,Bulgaria,2012-06-01,
30,Bulgaria,2012-07-01,
31,Bulgaria,2012-08-01,
32,Bulgaria,2012-09-01,
33,Bulgaria,2012-10-01,
34,Bulgaria,2012-11-01,
35,Bulgaria,2012-12-01,
36,Bulgaria,2013-01-01,
37,Bulgaria,2013-02-01,
38,Bulgaria,2013-03-01,
39,Bulgaria,2013-04-01,
40,Bulgaria,2013-05-01,
41,Bulgaria,2013-06-01,
42,Bulgaria,2013-07-01,
43,Bulgaria,2013-08-01,
44,Bulgaria,2013-09-01,
45,Bulgaria,2013-10-01,
46,Bulgaria,2013-11-01,
47,Bulgaria,2013-12-01,
48,Bulgaria,2014-01-01,
49,Bulgaria,2014-02-01,
50,Bulgaria,2014-03-01,
51,Bulgaria,2014-04-01,
52,Bulgaria,2014-05-01,
53,Bulgaria,2014-06-01,
54,Bulgaria,2014-07-01,
55,Bulgaria,2014-08-01,
56,Bulgaria,2014-09-01,
57,Bulgaria,2014-10-01,
58,Bulgaria,2014-11-01,
59,Bulgaria,2014-12-01,
60,Bulgaria,2015-01-01,96.6
61,Bulgaria,2015-02-01,96.7
62,Bulgaria,2015-03-01,97.9
63,Bulgaria,2015-04-01,98.0
64,Bulgaria,2015-05-01,99.8
65,Bulgaria,2015-06-01,100.0
66,Bulgaria,2015-07-01,101.3
67,Bulgaria,2015-08-01,99.0
68,Bulgaria,2015-09-01,102.2
69,Bulgaria,2015-10-01,103.2
70,Bulgaria,2015-11-01,102.0
71,Bulgaria,2015-12-01,101.2
72,Bulgaria,2016-01-01,100.8
73,Bulgaria,2016-02-01,102.8
74,Bulgaria,2016-03-01,102.1
75,Bulgaria,2016-04-01,105.6
76,Bulgaria,2016-05-01,103.8
77,Bulgaria,2016-06-01,122.5
78,Bulgaria,2016-07-01,104.3
