"","publishstate","country","region","year","gho","value","unregion"
"1","Published","Armenia","Europe",2002,"Proportion of population below the international poverty line of US$1.90 per day (%)",15.1,NA
"2","Published","Armenia","Europe",2003,"Proportion of population below the international poverty line of US$1.90 per day (%)",11.4,NA
"3","Published","Armenia","Europe",2001,"Proportion of population below the international poverty line of US$1.90 per day (%)",19.3,NA
"4","Published","Argentina","Americas",2017,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.4,NA
"5","Published","Argentina","Americas",2016,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.6,NA
"6","Published","Argentina","Americas",2014,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.7,NA
"7","Published","Argentina","Americas",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.8,NA
"8","Published","Argentina","Americas",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.8,NA
"9","Published","Argentina","Americas",2011,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.9,NA
"10","Published","Argentina","Americas",2010,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.1,NA
"11","Published","Argentina","Americas",2009,"Proportion of population below the international poverty line of US$1.90 per day (%)",2.6,NA
"12","Published","Argentina","Americas",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",2.6,NA
"13","Published","Argentina","Americas",2007,"Proportion of population below the international poverty line of US$1.90 per day (%)",2.9,NA
"14","Published","Argentina","Americas",2006,"Proportion of population below the international poverty line of US$1.90 per day (%)",3.3,NA
"15","Published","Argentina","Americas",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",3.9,NA
"16","Published","Argentina","Americas",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",5.4,NA
"17","Published","Argentina","Americas",2003,"Proportion of population below the international poverty line of US$1.90 per day (%)",7,NA
"18","Published","Argentina","Americas",2002,"Proportion of population below the international poverty line of US$1.90 per day (%)",14,NA
"19","Published","Argentina","Americas",2001,"Proportion of population below the international poverty line of US$1.90 per day (%)",9.4,NA
"20","Published","Argentina","Americas",2000,"Proportion of population below the international poverty line of US$1.90 per day (%)",5.7,NA
"21","Published","Albania","Europe",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.1,NA
"22","Published","Albania","Europe",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.4,NA
"23","Published","Albania","Europe",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.1,NA
"24","Published","Albania","Europe",2002,"Proportion of population below the international poverty line of US$1.90 per day (%)",2,NA
"25","Published","Angola","Africa",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",30.1,NA
"26","Published","Angola","Africa",2000,"Proportion of population below the international poverty line of US$1.90 per day (%)",32.3,NA
"27","Published","Armenia","Europe",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",7.9,NA
"28","Published","Austria","Europe",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.5,NA
"29","Published","Austria","Europe",2009,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.5,NA
"30","Published","Austria","Europe",2010,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.5,NA
"31","Published","Austria","Europe",2011,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.5,NA
"32","Published","Austria","Europe",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.5,NA
"33","Published","Austria","Europe",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"34","Published","Austria","Europe",2014,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"35","Published","Austria","Europe",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.7,NA
"36","Published","Azerbaijan","Europe",2001,"Proportion of population below the international poverty line of US$1.90 per day (%)",2.7,NA
"37","Published","Azerbaijan","Europe",2002,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"38","Published","Azerbaijan","Europe",2003,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"39","Published","Azerbaijan","Europe",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"40","Published","Azerbaijan","Europe",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"41","Published","Burundi","Africa",2006,"Proportion of population below the international poverty line of US$1.90 per day (%)",77.7,NA
"42","Published","Burundi","Africa",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",71.8,NA
"43","Published","Belgium","Europe",2003,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"44","Published","Belgium","Europe",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"45","Published","Belgium","Europe",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"46","Published","Belgium","Europe",2006,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"47","Published","Armenia","Europe",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",4.5,NA
"48","Published","Armenia","Europe",2006,"Proportion of population below the international poverty line of US$1.90 per day (%)",3.2,NA
"49","Published","Armenia","Europe",2007,"Proportion of population below the international poverty line of US$1.90 per day (%)",2.8,NA
"50","Published","Armenia","Europe",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.4,NA
"51","Published","Armenia","Europe",2009,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.9,NA
"52","Published","Armenia","Europe",2010,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.9,NA
"53","Published","Armenia","Europe",2011,"Proportion of population below the international poverty line of US$1.90 per day (%)",2.2,NA
"54","Published","Armenia","Europe",2012,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.6,NA
"55","Published","Armenia","Europe",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",2.2,NA
"56","Published","Armenia","Europe",2014,"Proportion of population below the international poverty line of US$1.90 per day (%)",2.3,NA
"57","Published","Armenia","Europe",2015,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.9,NA
"58","Published","Armenia","Europe",2016,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.8,NA
"59","Published","Armenia","Europe",2017,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.4,NA
"60","Published","Australia","Western Pacific",2001,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.7,NA
"61","Published","Australia","Western Pacific",2003,"Proportion of population below the international poverty line of US$1.90 per day (%)",1,NA
"62","Published","Australia","Western Pacific",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.7,NA
"63","Published","Australia","Western Pacific",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.5,NA
"64","Published","Australia","Western Pacific",2010,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.5,NA
"65","Published","Australia","Western Pacific",2014,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.7,NA
"66","Published","Austria","Europe",2003,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"67","Published","Austria","Europe",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"68","Published","Austria","Europe",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"69","Published","Austria","Europe",2006,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"70","Published","Austria","Europe",2007,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.5,NA
"71","Published","Belgium","Europe",2007,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"72","Published","Belgium","Europe",2008,"Proportion of population below the international poverty line of US$1.90 per day (%)",0,NA
"73","Published","Bulgaria","Europe",2013,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.7,NA
"74","Published","Bulgaria","Europe",2014,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.5,NA
"75","Published","Bosnia and Herzegovina","Europe",2001,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.3,NA
"76","Published","Bosnia and Herzegovina","Europe",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.2,NA
"77","Published","Bosnia and Herzegovina","Europe",2007,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.1,NA
"78","Published","Bosnia and Herzegovina","Europe",2011,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.1,NA
"79","Published","Belarus","Europe",2000,"Proportion of population below the international poverty line of US$1.90 per day (%)",7.1,NA
"80","Published","Belarus","Europe",2001,"Proportion of population below the international poverty line of US$1.90 per day (%)",3.2,NA
"81","Published","Belarus","Europe",2002,"Proportion of population below the international poverty line of US$1.90 per day (%)",2.1,NA
"82","Published","Belarus","Europe",2003,"Proportion of population below the international poverty line of US$1.90 per day (%)",1.4,NA
"83","Published","Belarus","Europe",2004,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.3,NA
"84","Published","Belarus","Europe",2005,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.4,NA
"85","Published","Belarus","Europe",2006,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.1,NA
"86","Published","Belarus","Europe",2007,"Proportion of population below the international poverty line of US$1.90 per day (%)",0.1,NA
