Macrotrends Data Download

Palladium Prices - Interactive Historical Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1977-01-05,51.2500
1977-01-06,51.9000
1977-01-07,53.0000
1977-01-10,52.2500
1977-01-11,52.0000
1977-01-12,52.2500
1977-01-13,53.5000
1977-01-14,54.5000
1977-01-17,54.5000
1977-01-18,55.0000
1977-01-19,55.5000
1977-01-20,57.5000
1977-01-21,58.0000
1977-01-24,58.5000
1977-01-25,59.0000
1977-01-26,59.0000
1977-01-27,59.0000
1977-01-28,58.5000
1977-01-31,58.3500
1977-02-01,58.0000
1977-02-02,58.1000
1977-02-03,59.5000
1977-02-04,59.0500
1977-02-07,59.2500
1977-02-08,59.2500
1977-02-09,59.2500
1977-02-10,58.9500
1977-02-11,58.5000
1977-02-14,58.3500
1977-02-15,57.8000
1977-02-16,57.9000
1977-02-17,58.2500
1977-02-18,58.1500
1977-02-22,58.2500
1977-02-23,58.7300
1977-02-24,58.7700
1977-02-25,58.8600
1977-02-28,59.6600
1977-03-01,58.9000
1977-03-02,59.0000
1977-03-03,59.0500
1977-03-04,59.1000
1977-03-07,58.8000
1977-03-08,58.5000
1977-03-09,58.3500
1977-03-10,57.7500
1977-03-11,56.2000
1977-03-14,56.7500
1977-03-15,57.1000
1977-03-16,57.0000
1977-03-17,56.8000
1977-03-18,57.0000
1977-03-21,56.7500
1977-03-22,57.0000
1977-03-23,56.8500
1977-03-24,56.8500
1977-03-25,56.5000
1977-03-28,56.0000
1977-03-29,55.2000
1977-03-30,55.3000
1977-03-31,55.5000
1977-04-01,55.7500
1977-04-04,55.6000
1977-04-05,55.7500
1977-04-06,55.0000
1977-04-07,54.3000
1977-04-11,54.6000
1977-04-12,54.9500
1977-04-13,55.1000
1977-04-14,54.8000
1977-04-15,55.0000
1977-04-18,54.8500
1977-04-19,54.8000
1977-04-20,54.3000
1977-04-21,53.4000
1977-04-22,53.8500
1977-04-25,53.5000
1977-04-26,53.1000
1977-04-27,53.3000
1977-04-28,53.6500
1977-04-29,53.7500
1977-05-02,53.6000
1977-05-03,53.8000
1977-05-04,53.6500
1977-05-05,53.3000
1977-05-06,53.2500
1977-05-09,53.2500
1977-05-10,53.0500
1977-05-11,53.3000
1977-05-12,53.0500
1977-05-13,53.0000
1977-05-16,52.5000
1977-05-17,52.0000
1977-05-18,51.0000
1977-05-19,50.0000
1977-05-20,49.3000
1977-05-23,48.0000
1977-05-24,48.4000
1977-05-25,49.1400
1977-05-26,48.9000
1977-05-27,49.1400
1977-05-31,48.7000
1977-06-01,48.8500
1977-06-02,48.5000
1977-06-03,46.8500
1977-06-06,46.0000
1977-06-07,44.0500
1977-06-08,43.3500
1977-06-09,42.0000
1977-06-10,44.6000
1977-06-13,42.5000
1977-06-14,42.2000
1977-06-15,44.4000
1977-06-16,45.5000
1977-06-17,44.9000
1977-06-20,44.7500
1977-06-21,45.2000
1977-06-22,45.2500
1977-06-23,45.2500
1977-06-24,45.4500
1977-06-27,45.8500
1977-06-28,45.7500
1977-06-29,45.8000
1977-06-30,45.8000
1977-07-01,45.3000
1977-07-05,45.2000
1977-07-06,45.4000
1977-07-07,45.0000
1977-07-08,44.7000
1977-07-11,44.5000
1977-07-12,44.4000
1977-07-13,44.0000
1977-07-15,43.7500
1977-07-18,44.3000
1977-07-19,44.5000
1977-07-20,44.1000
1977-07-21,44.1000
1977-07-22,44.0000
1977-07-25,44.2500
1977-07-26,44.0000
1977-07-27,43.2500
1977-07-28,43.0000
1977-07-29,43.0000
1977-08-01,42.5000
1977-08-02,43.0000
1977-08-04,42.9500
1977-08-05,42.6000
1977-08-08,42.5000
1977-08-09,42.6000
1977-08-10,42.3500
1977-08-11,42.2000
1977-08-12,42.2000
1977-08-15,41.7000
1977-08-16,41.7000
1977-08-17,41.7000
1977-08-18,41.6500
1977-08-19,41.7000
1977-08-22,41.7500
1977-08-23,41.9000
1977-08-24,41.8500
1977-08-25,41.9000
1977-08-26,41.9600
1977-08-29,41.9200
1977-08-30,42.1200
1977-08-31,42.4080
1977-09-01,42.4000
1977-09-02,43.2500
1977-09-06,42.8000
1977-09-07,43.0000
1977-09-08,42.8000
1977-09-09,43.3000
1977-09-12,42.9000
1977-09-13,42.1500
1977-09-14,42.0000
1977-09-15,42.0000
1977-09-16,42.4000
1977-09-19,42.5000
1977-09-20,42.7500
1977-09-21,42.5000
1977-09-22,42.5000
1977-09-23,42.5000
1977-09-26,42.8000
1977-09-27,42.7500
1977-09-28,42.5000
1977-09-29,42.7500
1977-09-30,42.5000
1977-10-03,43.0000
1977-10-04,43.3500
1977-10-05,43.1000
1977-10-06,43.0500
1977-10-07,42.5500
1977-10-10,42.5000
1977-10-11,42.5000
1977-10-12,42.5500
1977-10-13,42.2000
1977-10-14,42.7000
1977-10-17,42.7000
