Macrotrends Data Download

WTI Crude Oil Prices - 10 Year Daily Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
2010-03-29,82.1700
2010-03-30,82.3700
2010-03-31,83.7600
2010-04-01,84.8700
2010-04-05,86.6200
2010-04-06,86.8400
2010-04-07,85.8800
2010-04-08,85.3900
2010-04-09,84.9200
2010-04-12,84.3400
2010-04-13,84.0500
2010-04-14,85.8400
2010-04-15,85.7580
2010-04-16,83.8120
2010-04-19,82.4580
2010-04-20,83.7700
2010-04-21,83.6800
2010-04-22,83.7000
2010-04-23,85.1200
2010-04-26,84.2000
2010-04-27,82.4400
2010-04-28,83.2200
2010-04-29,85.1700
2010-04-30,86.1500
2010-05-03,86.1900
2010-05-04,82.7400
2010-05-05,79.9700
2010-05-06,77.1100
2010-05-07,75.1100
2010-05-10,76.8000
2010-05-11,76.3700
2010-05-12,75.6500
2010-05-13,74.4000
2010-05-14,71.6100
2010-05-17,70.7080
2010-05-18,70.7260
2010-05-19,71.4360
2010-05-20,70.2420
2010-05-21,70.0400
2010-05-24,70.2100
2010-05-25,68.7500
2010-05-26,71.5100
2010-05-27,74.5500
2010-05-28,73.9700
2010-06-01,72.5800
2010-06-02,72.8600
2010-06-03,74.6100
2010-06-04,71.5100
2010-06-07,71.4400
2010-06-08,71.9900
2010-06-09,74.3800
2010-06-10,75.4800
2010-06-11,73.7800
2010-06-14,75.1200
2010-06-15,76.9400
2010-06-16,77.6700
2010-06-17,77.0400
2010-06-18,77.6120
2010-06-21,78.2940
2010-06-22,77.7220
2010-06-23,76.3500
2010-06-24,76.5100
2010-06-25,78.8600
2010-06-28,78.2500
2010-06-29,75.9400
2010-06-30,75.6300
2010-07-01,72.9500
2010-07-02,72.1400
2010-07-06,71.9800
2010-07-07,74.0700
2010-07-08,75.4400
2010-07-09,76.0900
2010-07-12,74.9500
2010-07-13,77.1500
2010-07-14,77.0400
2010-07-15,76.6980
2010-07-16,76.1580
2010-07-19,76.7560
2010-07-20,77.5520
2010-07-21,76.5600
2010-07-22,79.3000
2010-07-23,78.9800
2010-07-26,78.9800
2010-07-27,77.5000
2010-07-28,76.9900
2010-07-29,78.3600
2010-07-30,78.9500
2010-08-02,81.3400
2010-08-03,82.5500
2010-08-04,82.4700
2010-08-05,82.0100
2010-08-06,80.7000
2010-08-09,81.4800
2010-08-10,80.2500
2010-08-11,78.0200
2010-08-12,75.7400
2010-08-13,75.3900
2010-08-16,75.2400
2010-08-17,75.8480
2010-08-18,75.5640
2010-08-19,74.6340
2010-08-20,73.7480
2010-08-23,73.1000
2010-08-24,71.6300
2010-08-25,72.5200
2010-08-26,73.3600
2010-08-27,75.1700
2010-08-30,74.7000
2010-08-31,71.9200
2010-09-01,73.9100
2010-09-02,75.0200
2010-09-03,74.6000
2010-09-07,74.0900
2010-09-08,74.6700
2010-09-09,74.2500
2010-09-10,76.4500
2010-09-13,77.1900
2010-09-14,76.8000
2010-09-15,76.0200
2010-09-16,74.5700
2010-09-17,73.9120
2010-09-20,75.3920
2010-09-21,74.3900
2010-09-22,74.4080
2010-09-23,75.1800
2010-09-24,76.4900
2010-09-27,76.5200
2010-09-28,76.1800
2010-09-29,77.8600
2010-09-30,79.9700
2010-10-01,81.5800
2010-10-04,81.4700
2010-10-05,82.8200
2010-10-06,83.2300
2010-10-07,81.6700
2010-10-08,82.6600
2010-10-11,82.2100
2010-10-12,81.6700
2010-10-13,83.0100
2010-10-14,82.6900
2010-10-15,81.3860
2010-10-18,83.3680
2010-10-19,79.8920
2010-10-20,82.3860
2010-10-21,80.5600
2010-10-22,81.6900
2010-10-25,82.5200
2010-10-26,82.5500
2010-10-27,81.9400
2010-10-28,82.1800
2010-10-29,81.4300
2010-11-01,82.9500
2010-11-02,83.9000
2010-11-03,84.6900
2010-11-04,86.4900
2010-11-05,86.8500
2010-11-08,87.0600
2010-11-09,86.7200
2010-11-10,87.8100
2010-11-11,87.8100
2010-11-12,84.8800
2010-11-15,84.8600
2010-11-16,82.4400
2010-11-17,80.6800
2010-11-18,82.1920
2010-11-19,81.8860
2010-11-22,81.7400
2010-11-23,81.2500
2010-11-24,83.8600
2010-11-26,83.7600
2010-11-29,85.7300
2010-11-30,84.1100
2010-12-01,86.7500
2010-12-02,88.0000
2010-12-03,89.1900
2010-12-06,89.3800
2010-12-07,88.6900
2010-12-08,88.2800
2010-12-09,88.3700
2010-12-10,87.7900
2010-12-13,88.6100
2010-12-14,88.2800
2010-12-15,88.6200
2010-12-16,87.8400
2010-12-17,88.2520
2010-12-20,89.1460
2010-12-21,89.5960
2010-12-22,90.4800
2010-12-23,91.5100
2010-12-27,91.0000
2010-12-28,91.4900
2010-12-29,91.1200
2010-12-30,89.8400
2010-12-31,91.3800
2011-01-03,91.5500
2011-01-04,89.3800
2011-01-05,90.3000
2011-01-06,88.3800
2011-01-07,88.0300
2011-01-10,89.2500
2011-01-11,91.1100
2011-01-12,91.8600
2011-01-13,91.4000
2011-01-14,91.7460
2011-01-18,91.7520
2011-01-19,91.4300
2011-01-20,89.4440
2011-01-21,89.1100
2011-01-24,87.8700
2011-01-25,86.1900
2011-01-26,87.3300
2011-01-27,85.6400
2011-01-28,89.3400
2011-01-31,92.1900
2011-02-01,90.7700
2011-02-02,90.8600
2011-02-03,90.5400
2011-02-04,89.0300
2011-02-07,87.4800
2011-02-08,86.9400
2011-02-09,86.7100
2011-02-10,86.7300
2011-02-11,85.5800
2011-02-14,84.8100
2011-02-15,84.3200
2011-02-16,85.5600
2011-02-17,87.3520
2011-02-18,88.3060
2011-02-22,95.0500
2011-02-23,98.1000
2011-02-24,97.2800
2011-02-25,97.8800
2011-02-28,96.9700
2011-03-01,99.6300
2011-03-02,102.2300
2011-03-03,101.9100
2011-03-04,104.4200
2011-03-07,105.4400
2011-03-08,105.0200
2011-03-09,104.3800
2011-03-10,102.7000
2011-03-11,101.1600
2011-03-14,101.1900
2011-03-15,97.1800
2011-03-16,97.9800
2011-03-17,101.6140
2011-03-18,101.3820
2011-03-21,102.7860
2011-03-22,104.7760
2011-03-23,105.7500
2011-03-24,105.6000
2011-03-25,105.4000
2011-03-28,103.9800
2011-03-29,104.7900
2011-03-30,104.2700
2011-03-31,106.7200
2011-04-01,107.9400
2011-04-04,108.4700
2011-04-05,108.3400
2011-04-06,108.8300
2011-04-07,110.3000
2011-04-08,112.7900
2011-04-11,109.9200
2011-04-12,106.2500
2011-04-13,107.1100
2011-04-14,108.2280
2011-04-15,109.8840
2011-04-18,107.4620
2011-04-19,108.2540
2011-04-20,111.4500
2011-04-21,112.2900
2011-04-25,112.2800
2011-04-26,112.2100
2011-04-27,112.7600
2011-04-28,112.8600
2011-04-29,113.9300
2011-05-02,113.5200
2011-05-03,111.0500
2011-05-04,109.2400
2011-05-05,99.8000
2011-05-06,97.1800
2011-05-09,102.5500
2011-05-10,103.8800
2011-05-11,98.2100
2011-05-12,98.9700
2011-05-13,99.6500
2011-05-16,97.3700
2011-05-17,97.0140
2011-05-18,100.2840
2011-05-19,98.7340
2011-05-20,99.9780
2011-05-23,97.7000
2011-05-24,99.5900
2011-05-25,101.3200
2011-05-26,100.2300
2011-05-27,100.5900
2011-05-31,102.7000
2011-06-01,100.2900
2011-06-02,100.4000
2011-06-03,100.2200
2011-06-06,99.0100
2011-06-07,99.0900
2011-06-08,100.7400
2011-06-09,101.9300
2011-06-10,99.2900
2011-06-13,97.3000
2011-06-14,99.3700
2011-06-15,94.8100
2011-06-16,95.0320
2011-06-17,93.1660
2011-06-20,93.4820
2011-06-21,94.0160
2011-06-22,95.4100
2011-06-23,91.0200
2011-06-24,91.1600
2011-06-27,90.6100
2011-06-28,92.8900
2011-06-29,94.7700
2011-06-30,95.4200
2011-07-01,94.9400
2011-07-05,96.8900
2011-07-06,96.6500
2011-07-07,98.6700
2011-07-08,96.2000
2011-07-11,95.1500
2011-07-12,97.4300
2011-07-13,98.0500
2011-07-14,95.6900
2011-07-15,97.3120
2011-07-18,96.0580
2011-07-19,97.7160
2011-07-20,98.3480
2011-07-21,99.1300
2011-07-22,99.8700
2011-07-25,99.2000
2011-07-26,99.5900
2011-07-27,97.4000
2011-07-28,97.4400
2011-07-29,95.7000
2011-08-01,94.8900
2011-08-02,93.7900
2011-08-03,91.9300
2011-08-04,86.6300
2011-08-05,86.8800
2011-08-08,81.3100
2011-08-09,79.3000
2011-08-10,82.8900
2011-08-11,85.7200
2011-08-12,85.3800
2011-08-15,87.8800
2011-08-16,86.6500
2011-08-17,87.6100
2011-08-18,82.4320
2011-08-19,82.3500
2011-08-22,84.3600
2011-08-23,85.4400
2011-08-24,85.1600
2011-08-25,85.3000
2011-08-26,85.3700
2011-08-29,87.2700
2011-08-30,88.9000
2011-08-31,88.8100
2011-09-01,88.9300
2011-09-02,86.4500
2011-09-06,86.0200
2011-09-07,89.3400
2011-09-08,89.0500
2011-09-09,87.2400
2011-09-12,88.1900
2011-09-13,90.2100
2011-09-14,88.9100
2011-09-15,89.4380
2011-09-16,88.0480
2011-09-19,85.7660
2011-09-20,86.9140
2011-09-21,85.9200
2011-09-22,80.5100
2011-09-23,79.8500
2011-09-26,80.2400
2011-09-27,84.4500
2011-09-28,81.2100
2011-09-29,82.1400
2011-09-30,79.2000
2011-10-03,77.6100
2011-10-04,75.6700
2011-10-05,79.6800
2011-10-06,82.5900
2011-10-07,82.9800
2011-10-10,85.4100
2011-10-11,85.8100
2011-10-12,85.5700
2011-10-13,84.2300
2011-10-14,86.8000
2011-10-17,86.4280
2011-10-18,88.4160
2011-10-19,86.2180
2011-10-20,85.9160
2011-10-21,87.4000
2011-10-24,91.2700
2011-10-25,93.1700
2011-10-26,90.2000
2011-10-27,93.9600
2011-10-28,93.3200
2011-10-31,93.1900
2011-11-01,92.1900
2011-11-02,92.5100
2011-11-03,94.0700
2011-11-04,94.2600
2011-11-07,95.5200
2011-11-08,96.8000
2011-11-09,95.7400
2011-11-10,97.7800
2011-11-11,98.9900
2011-11-14,98.1400
2011-11-15,99.3820
2011-11-16,102.5940
2011-11-17,98.8860
2011-11-18,97.6180
2011-11-21,96.9200
2011-11-22,98.0100
2011-11-23,96.1700
2011-11-25,96.7700
2011-11-28,98.2100
2011-11-29,99.7900
2011-11-30,100.3600
2011-12-01,100.2000
2011-12-02,100.9600
2011-12-05,100.9900
2011-12-06,101.2800
2011-12-07,100.4900
2011-12-08,98.3400
2011-12-09,99.4100
2011-12-12,97.7700
2011-12-13,100.1400
2011-12-14,94.9500
2011-12-15,93.9100
2011-12-16,93.6180
2011-12-19,93.9820
2011-12-20,97.2360
2011-12-21,98.6700
2011-12-22,99.5300
2011-12-23,99.6800
2011-12-27,101.3400
2011-12-28,99.3600
2011-12-29,99.6500
2011-12-30,98.8300
2012-01-03,102.9600
2012-01-04,103.2200
2012-01-05,101.8100
2012-01-06,101.5600
2012-01-09,101.3100
2012-01-10,102.2400
2012-01-11,100.8700
2012-01-12,99.1000
2012-01-13,98.7000
2012-01-17,100.7420
2012-01-18,100.6580
2012-01-19,100.4800
2012-01-20,98.3560
2012-01-23,99.5800
2012-01-24,98.9500
2012-01-25,99.4000
2012-01-26,99.7000
2012-01-27,99.5600
2012-01-30,98.7800
2012-01-31,98.4800
2012-02-01,97.6100
2012-02-02,96.3600
2012-02-03,97.8400
2012-02-06,96.9100
2012-02-07,98.4100
2012-02-08,98.7100
2012-02-09,99.8400
2012-02-10,98.6700
2012-02-13,100.9100
2012-02-14,100.7400
2012-02-15,101.8680
2012-02-16,102.4420
2012-02-17,103.4560
2012-02-21,106.1680
2012-02-22,106.2800
2012-02-23,107.8300
2012-02-24,109.7700
2012-02-27,108.5600
2012-02-28,106.5500
2012-02-29,107.0700
2012-03-01,108.8400
2012-03-02,106.7000
2012-03-05,106.7200
2012-03-06,104.7000
2012-03-07,106.1600
2012-03-08,106.5800
2012-03-09,107.4000
2012-03-12,106.3400
2012-03-13,106.7100
2012-03-14,105.4300
2012-03-15,105.2180
2012-03-16,107.2680
2012-03-19,108.3720
2012-03-20,105.9780
2012-03-21,107.2700
2012-03-22,105.3500
2012-03-23,106.8700
2012-03-26,107.0300
2012-03-27,107.3300
2012-03-28,105.4100
2012-03-29,102.7800
2012-03-30,103.0200
2012-04-02,105.2300
2012-04-03,104.0100
2012-04-04,101.4700
2012-04-05,103.3100
2012-04-09,102.4600
2012-04-10,101.0200
2012-04-11,102.7000
2012-04-12,103.6400
2012-04-13,102.8300
2012-04-16,102.9300
2012-04-17,104.2880
2012-04-18,102.8500
2012-04-19,102.5400
2012-04-20,103.7140
2012-04-23,103.1100
2012-04-24,103.5500
2012-04-25,104.1200
2012-04-26,104.5500
2012-04-27,104.9300
2012-04-30,104.8700
2012-05-01,106.1600
2012-05-02,105.2200
2012-05-03,102.5400
2012-05-04,98.4900
2012-05-07,97.9400
2012-05-08,97.0100
2012-05-09,96.8100
2012-05-10,97.0800
2012-05-11,96.1300
2012-05-14,94.7800
2012-05-15,93.9800
2012-05-16,92.8100
2012-05-17,92.6360
2012-05-18,91.6080
2012-05-21,92.7440
2012-05-22,91.8120
2012-05-23,89.9000
2012-05-24,90.6600
2012-05-25,90.8600
2012-05-29,90.7600
2012-05-30,87.8200
2012-05-31,86.5300
2012-06-01,83.2300
2012-06-04,83.9800
2012-06-05,84.2900
2012-06-06,85.0200
2012-06-07,84.8200
2012-06-08,84.1000
2012-06-11,82.7000
2012-06-12,83.3200
2012-06-13,82.6200
2012-06-14,83.9100
2012-06-15,84.0900
2012-06-18,83.4020
2012-06-19,84.2220
2012-06-20,81.5200
2012-06-21,78.2000
2012-06-22,79.7600
2012-06-25,79.2100
2012-06-26,79.3600
2012-06-27,80.2100
2012-06-28,77.6900
2012-06-29,84.9600
2012-07-02,83.7500
2012-07-03,87.6600
2012-07-05,87.2200
2012-07-06,84.4500
2012-07-09,85.9900
2012-07-10,83.9100
2012-07-11,85.8100
2012-07-12,86.0800
2012-07-13,87.1000
2012-07-16,88.4300
2012-07-17,89.2840
2012-07-18,89.9900
2012-07-19,92.8460
2012-07-20,91.7520
2012-07-23,88.1400
2012-07-24,88.5000
2012-07-25,88.9700
2012-07-26,89.3900
2012-07-27,90.1300
2012-07-30,89.7800
2012-07-31,88.0600
2012-08-01,88.9100
2012-08-02,87.1300
2012-08-03,91.4000
2012-08-06,92.2000
2012-08-07,93.6700
2012-08-08,93.3500
2012-08-09,93.3600
2012-08-10,92.8700
2012-08-13,92.7300
2012-08-14,93.4300
2012-08-15,94.3300
2012-08-16,95.6580
2012-08-17,96.1340
2012-08-20,96.1440
2012-08-21,96.8080
2012-08-22,97.2600
2012-08-23,96.2700
2012-08-24,96.1500
2012-08-27,95.4700
2012-08-28,96.3300
2012-08-29,95.4900
2012-08-30,94.6200
2012-08-31,96.4700
2012-09-04,95.3000
2012-09-05,95.3600
2012-09-06,95.5300
2012-09-07,96.4200
2012-09-10,96.5400
2012-09-11,97.1700
2012-09-12,97.0100
2012-09-13,98.3100
2012-09-14,99.0000
2012-09-17,96.6860
2012-09-18,95.4220
2012-09-19,92.1720
2012-09-20,92.3100
2012-09-21,92.8900
2012-09-24,91.9300
2012-09-25,91.3700
2012-09-26,89.9800
2012-09-27,91.8500
2012-09-28,92.1900
2012-10-01,92.4800
2012-10-02,91.8900
2012-10-03,88.1400
2012-10-04,91.7100
2012-10-05,89.8800
2012-10-08,89.3300
2012-10-09,92.3900
2012-10-10,91.2500
2012-10-11,92.0700
2012-10-12,91.8600
2012-10-15,91.8500
2012-10-16,92.0900
2012-10-17,92.2140
2012-10-18,92.2720
2012-10-19,90.2840
2012-10-22,88.6660
2012-10-23,86.6700
2012-10-24,85.7300
2012-10-25,86.0500
2012-10-26,86.2800
2012-10-29,85.5400
2012-10-30,85.6800
2012-10-31,86.2400
2012-11-01,87.0900
2012-11-02,84.8600
2012-11-05,85.6500
2012-11-06,88.7100
2012-11-07,84.4400
2012-11-08,85.0900
2012-11-09,86.0700
2012-11-12,85.5700
2012-11-13,85.4720
2012-11-14,86.4920
2012-11-15,85.7020
2012-11-16,86.8700
2012-11-19,89.2800
2012-11-20,86.7500
2012-11-21,87.3800
2012-11-23,88.2800
2012-11-26,87.7400
2012-11-27,87.1800
2012-11-28,86.4900
2012-11-29,88.0700
2012-11-30,88.9100
2012-12-03,89.0900
2012-12-04,88.5000
2012-12-05,87.8800
2012-12-06,86.2600
2012-12-07,85.9300
2012-12-10,85.5600
2012-12-11,85.7900
2012-12-12,86.7700
2012-12-13,85.8900
2012-12-14,86.8340
2012-12-17,87.3880
2012-12-18,88.2120
2012-12-19,89.8860
2012-12-20,90.1300
2012-12-21,88.6600
2012-12-24,88.6100
2012-12-26,90.9800
2012-12-27,90.8700
2012-12-28,90.8000
2012-12-31,91.8200
2013-01-02,93.1200
2013-01-03,92.9200
2013-01-04,93.0900
2013-01-07,93.1900
2013-01-08,93.1500
2013-01-09,93.1000
2013-01-10,93.8200
2013-01-11,93.5600
2013-01-14,94.1400
2013-01-15,93.2800
2013-01-16,94.3280
2013-01-17,95.6700
2013-01-18,95.8480
2013-01-22,96.5920
2013-01-23,95.2300
2013-01-24,95.9500
2013-01-25,95.8800
2013-01-28,96.4400
2013-01-29,97.5700
2013-01-30,97.9400
2013-01-31,97.4900
2013-02-01,97.7700
