"MacroTrends Data Download"
"S - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1984-11-08,5.405,5.4375,5.3125,5.375,8332000
1984-11-09,5.375,5.4375,5.345,5.375,1933200
1984-11-12,5.375,5.375,5.28,5.3125,222400
1984-11-13,5.28,5.375,5.28,5.3125,2776800
1984-11-14,5.3125,5.375,5.3125,5.375,1144800
1984-11-15,5.405,5.53,5.345,5.53,2324800
1984-11-16,5.345,5.345,5.22,5.25,567200
1984-11-19,5.25,5.25,5.1875,5.1875,674400
1984-11-20,5.1875,5.28,5.155,5.25,530400
1984-11-21,5.3125,5.375,5.25,5.3125,707200
1984-11-23,5.345,5.405,5.28,5.345,1287600
1984-11-26,5.3125,5.375,5.3125,5.3125,217200
1984-11-27,5.345,5.375,5.28,5.3125,608000
1984-11-28,5.3125,5.405,5.28,5.3125,280000
1984-11-29,5.28,5.28,5.25,5.25,160000
1984-11-30,5.22,5.28,5.22,5.25,210400
1984-12-03,5.25,5.28,5.1875,5.25,786800
1984-12-04,5.1875,5.28,5.1875,5.22,433600
1984-12-05,5.22,5.25,5.1875,5.22,231200
1984-12-06,5.28,5.3125,5.22,5.28,269600
1984-12-07,5.3125,5.345,5.25,5.25,348800
1984-12-10,5.3125,5.375,5.25,5.3125,444000
1984-12-11,5.375,5.375,5.345,5.345,390800
1984-12-12,5.375,5.375,5.3125,5.345,386400
1984-12-13,5.375,5.375,5.345,5.345,235600
1984-12-14,5.375,5.405,5.345,5.375,486800
1984-12-17,5.375,5.405,5.345,5.405,1462400
1984-12-18,5.405,5.53,5.405,5.47,703600
1984-12-19,5.5,5.5625,5.4375,5.4375,1118400
1984-12-20,5.405,5.47,5.405,5.4375,353600
1984-12-21,5.4375,5.53,5.4375,5.53,372000
1984-12-24,5.5,5.5625,5.47,5.53,271200
1984-12-26,5.5625,5.5625,5.5,5.53,256800
1984-12-27,5.53,5.5625,5.5,5.5,1587200
1984-12-28,5.53,5.5625,5.5,5.5,265200
1984-12-31,5.53,5.5625,5.5,5.5625,124800
1985-01-02,5.5,5.53,5.47,5.5,239600
1985-01-03,5.47,5.53,5.4375,5.47,1041200
1985-01-04,5.5,5.5625,5.47,5.53,1644000
1985-01-07,5.53,5.625,5.53,5.625,320000
1985-01-08,5.595,5.655,5.595,5.655,692000
1985-01-09,5.6875,5.75,5.6875,5.72,775200
1985-01-10,5.72,5.75,5.6875,5.6875,498000
1985-01-11,5.6875,5.72,5.6875,5.6875,374000
1985-01-14,5.6875,5.72,5.655,5.72,395200
1985-01-15,5.72,5.78,5.6875,5.75,916800
1985-01-16,5.75,5.845,5.72,5.78,1424400
1985-01-17,5.75,5.8125,5.75,5.78,490800
1985-01-18,5.8125,5.845,5.75,5.78,236400
1985-01-21,5.75,5.9375,5.75,5.905,945200
1985-01-22,5.97,6,5.875,5.875,740400
1985-01-23,5.875,5.905,5.78,5.8125,820800
1985-01-24,5.8125,5.8125,5.6875,5.75,694400
1985-01-25,5.78,5.8125,5.75,5.78,492400
1985-01-28,5.78,5.875,5.75,5.78,1206000
1985-01-29,5.78,5.8125,5.72,5.75,520800
1985-01-30,5.8125,5.875,5.75,5.75,911200
1985-01-31,5.75,5.8125,5.72,5.78,786000
1985-02-01,5.75,5.845,5.72,5.8125,378400
1985-02-04,5.845,5.875,5.8125,5.875,397200
1985-02-05,5.875,5.905,5.845,5.875,711600
1985-02-06,5.875,5.905,5.78,5.845,1101200
1985-02-07,5.875,5.97,5.845,5.9375,395600
1985-02-08,5.9375,5.97,5.875,5.905,864400
1985-02-11,5.905,5.9375,5.845,5.875,747600
1985-02-12,5.875,5.9375,5.655,5.905,418000
1985-02-13,5.9375,5.97,5.905,5.9375,626000
1985-02-14,5.97,5.97,5.905,5.97,1172800
1985-02-15,5.97,6.03,5.9375,5.97,692400
1985-02-19,5.9375,5.97,5.905,5.9375,1928800
1985-02-20,5.9375,6,5.9375,5.97,4448000
1985-02-21,5.845,5.905,5.78,5.845,1032000
1985-02-22,5.905,5.905,5.8125,5.845,730800
1985-02-25,5.8125,5.905,5.8125,5.875,1036800
